YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 02 08 22 00 249  1.6  2.4  1.42 11.11  7.97  88 1019.1  14.2  16.5   5.7 99.0 99.00
2005 02 08 23 00 204  2.3  2.9  1.34 14.29  8.48  94 1018.9  14.9  16.7   4.5 99.0 99.00
2005 02 09 00 00 211  1.9  2.6  1.22 14.29  8.23 101 1018.9  15.7  16.7   3.5 99.0 99.00
2005 02 09 01 00 216  2.2  2.7  1.26 14.29  8.87  89 1018.9  16.5  16.7   1.9 99.0 99.00
2005 02 09 02 00 235  3.1  4.1  1.13 14.29  8.11  68 1019.0  16.8  16.7   1.6 99.0 99.00
2005 02 09 03 00 266  2.9  3.9  1.30 12.50  8.42  64 1019.4  17.2  16.7   4.4 99.0 99.00
2005 02 09 04 00 261  2.0  2.8  1.25 12.50  8.25  83 1019.0  17.3  16.7   4.5 99.0 99.00
2005 02 09 05 00 244  2.2  2.9  1.21 10.00  8.60  92 1018.8  17.3  16.7 999.0 99.0 99.00
2005 02 09 06 00 246  2.4  3.3  1.15 12.50  8.32  95 1018.1  17.4  16.7   9.2 99.0 99.00
2005 02 09 07 00 242  2.4  3.2  1.31 12.50  8.73  96 1017.8  17.5  16.5  10.7 99.0 99.00
2005 02 09 08 00 307  1.6  2.1  1.31 12.50  8.72  82 1017.3  16.4  16.5  13.5 99.0 99.00
2005 02 09 09 00 304  3.3  4.2  1.15 12.50  8.15  86 1017.4  16.4  16.5  11.8 99.0 99.00
2005 02 09 10 00 304  2.9  3.6  1.23 12.50  8.44  91 1016.9  15.7  16.5  11.8 99.0 99.00
2005 02 09 11 00 301  5.4  7.1  1.25 14.29  8.71 134 1017.2  15.2  16.5  11.2 99.0 99.00
2005 02 09 12 00 312  6.2  7.6  1.06 12.50  7.61  90 1017.3  15.3  16.8   8.0 99.0 99.00
2005 02 09 13 00 330  4.7  5.8  1.07 11.11  6.46  79 1017.2  14.9  16.8   5.9 99.0 99.00
2005 02 09 14 00  10  1.8  2.7  1.21 12.50  6.88  49 1017.2  15.2  17.2   8.0 99.0 99.00
2005 02 09 15 00  33  0.6  1.1  1.16 12.50  7.68  55 1017.3  15.7  17.3   9.1 99.0 99.00
2005 02 09 16 00 118  2.1  2.8  1.00 11.11  7.68  74 1017.0  16.4  17.3   9.9 99.0 99.00
2005 02 09 17 00 149  1.1  1.5  1.13 12.50  8.35  94 1016.5  17.2  17.5  10.2 99.0 99.00
2005 02 09 18 00 174  1.8  2.2  1.18 12.50  8.72 106 1015.7  17.6  17.5   8.6 99.0 99.00
2005 02 09 19 00 202  3.0  4.0  1.04 12.50  7.97 118 1015.0  18.3  17.5   9.3 99.0 99.00
2005 02 09 20 00 200  4.2  5.3  0.99 11.11  7.78 105 1014.2  18.6  17.3  11.3 99.0 99.00
2005 02 09 21 00 206  4.9  5.9  1.05 11.11  7.57  81 1014.1  18.7  17.2  11.4 99.0 99.00
2005 02 09 22 00 231  5.8  7.4  1.08 11.11  6.89  92 1014.0  18.8  16.8  11.9 99.0 99.00
2005 02 09 23 00 259  7.5  9.0  1.12 11.11  5.31 104 1014.1  16.8  16.8  12.4 99.0 99.00
2005 02 10 00 00 244  7.6  8.8  1.27 10.00  5.47  95 1013.7  16.5  16.9  13.6 99.0 99.00
2005 02 10 01 00 241  9.7 11.8  1.25 11.11  4.82 190 1013.6  16.8  17.2  13.9 99.0 99.00
2005 02 10 02 00 201  6.2  7.7  1.19 10.00  4.56 102 1011.4  17.3  17.3  13.6 99.0 99.00
2005 02 10 03 00 217  9.1 11.0  1.27  4.55  4.57 237 1011.0  18.4  17.6  12.9 99.0 99.00
2005 02 10 04 00 245  8.9 10.7  1.21 10.00  4.51  88 1011.4  18.3  18.0  14.5 99.0 99.00
2005 02 10 05 00 241  8.7 10.3  1.34 11.11  4.75 248 1010.9  18.3  17.8  14.5 99.0 99.00
2005 02 10 06 00 254  6.2  7.7  1.26  4.76  4.77 233 1010.2  17.6  17.6  15.2 99.0 99.00
2005 02 10 07 00 243  7.5  9.3  1.37  5.00  4.92 226 1009.5  18.0  17.6  15.2 99.0 99.00
2005 02 10 08 00 238  8.1  9.6  1.47  5.00  5.04 225 1008.6  18.3  17.7  15.2 99.0 99.00
2005 02 10 09 00 245 11.4 13.8  1.67  5.88  4.94 214 1007.5  18.0  18.0  14.6 99.0 99.00
2005 02 10 10 00 253 13.0 16.1  1.75  5.26  4.72 218 1006.4  17.5  18.0  14.2 99.0 99.00
2005 02 10 11 00 264 11.3 13.3  2.05  5.88  4.96 214 1006.3  16.1  18.0  13.5 99.0 99.00
2005 02 10 12 00 266 12.0 14.5  1.81  6.25  4.73 214 1006.4  16.1  18.0  13.9 99.0 99.00
2005 02 10 13 00 273 12.8 15.3  2.03  6.25  4.81 221 1006.6  15.9  18.1  13.2 99.0 99.00
2005 02 10 14 00 262 11.6 14.7  1.93  6.67  4.85 222 1006.5  15.9  18.3  12.2 99.0 99.00
2005 02 10 15 00 281 13.2 15.7  2.09  6.67  5.05 219 1007.1  14.7  18.3  11.5 99.0 99.00
2005 02 10 16 00 285 12.3 14.9  2.19  7.14  5.24 219 1006.8  14.1  18.3  10.2 99.0 99.00
2005 02 10 17 00 287 12.2 14.0  2.18  8.33  5.29 225 1006.3  13.6  18.1   9.2 99.0 99.00
2005 02 10 18 00 284 11.1 13.5  2.22  7.69  5.50 209 1005.5  13.6  18.0   9.0 99.0 99.00
2005 02 10 19 00 285  9.8 11.9  1.96  7.69  5.27 208 1005.4  13.6  18.0   6.4 99.0 99.00
2005 02 10 20 00 291 10.7 12.8  1.99  7.69  5.44 205 1005.5  13.4  17.6   6.4 99.0 99.00
2005 02 10 21 00 300 11.6 15.1  1.92  7.69  5.25 208 1006.1  13.3  17.5   1.0 99.0 99.00
2005 02 10 22 00 315 12.2 15.2  2.00  7.14  5.10 206 1007.1  12.4  17.5   1.9 99.0 99.00
2005 02 10 23 00 315 12.8 14.9  2.11  5.26  4.97 252 1008.2  11.4  17.5   1.9 99.0 99.00
2005 02 11 00 00 323 13.4 16.4  2.19  5.00  5.17 306 1009.4  10.7  17.4  -2.1 99.0 99.00
2005 02 11 01 00 322 14.2 17.1  2.62  5.88  5.26 314 1010.2  10.3  17.3  -1.4 99.0 99.00
2005 02 11 02 00 324 13.6 16.2  2.83  5.88  5.31 302 1011.0   9.4  17.3  -4.4 99.0 99.00
2005 02 11 03 00 318 14.0 17.7  2.53  5.56  5.11 318 1011.8   8.6  17.4  -1.7 99.0 99.00
2005 02 11 04 00 320 14.1 18.1  2.46  5.88  4.99 295 1012.4   7.9  17.3  -2.6 99.0 99.00
2005 02 11 05 00 320 14.2 17.5  2.37  5.56  4.90 308 1013.1   7.1  16.9  -2.4 99.0 99.00
2005 02 11 06 00 322 13.0 16.7  2.29  5.88  4.99 300 1013.6   6.4  16.6  -3.3 99.0 99.00
2005 02 11 07 00 324 14.2 17.1  2.44  6.25  5.18 301 1013.9   5.7  16.4  -4.9 99.0 99.00
2005 02 11 08 00 314 12.8 16.0  2.72  5.26  5.22 316 1014.2   5.3  16.0  -4.2 99.0 99.00
2005 02 11 09 00 324 13.6 16.7  2.51  5.88  5.30 310 1014.8   4.9  16.0  -1.7 99.0 99.00
2005 02 11 10 00 329 13.5 18.0  2.35  6.25  5.24 294 1015.5   4.5  16.0  -2.6 99.0 99.00
2005 02 11 11 00 324 12.4 16.3  2.24  5.88  5.24 311 1016.0   4.2  15.7  -3.1 99.0 99.00
2005 02 11 12 00 326 12.3 15.2  2.35  6.25  5.31 309 1016.3   4.0  15.9  -2.1 99.0 99.00
2005 02 11 13 00 329 11.8 14.3  2.06  5.88  5.12 347 1017.1   4.0  15.8  -3.7 99.0 99.00
2005 02 11 14 00 329 12.1 15.2  2.11  5.88  4.96 308 1017.6   3.9  15.7  -3.0 99.0 99.00
2005 02 11 15 00 324 10.4 12.9  2.04  5.56  4.92 311 1017.8   3.9  15.7  -4.1 99.0 99.00
2005 02 11 16 00 326  8.3 11.8  1.85  5.56  4.67 318 1017.5   3.9  15.7  -5.4 99.0 99.00
2005 02 11 17 00 316  7.2  9.5  1.67  5.26  4.62 313 1017.1   4.2  15.7  -4.7 99.0 99.00
2005 02 11 18 00 303  7.4  9.8  1.42  5.00  4.68 311 1016.1   4.8  15.6  -5.2 99.0 99.00
2005 02 11 19 00 300  7.4  9.8  1.26  5.26  4.57 286 1015.1   5.1  15.5  -6.7 99.0 99.00
2005 02 11 20 00 295  7.3  9.2  1.35  9.09  4.86  63 1014.6   5.9  15.6  -6.1 99.0 99.00
2005 02 11 21 00 295  9.4 11.4  1.28  9.09  4.95  67 1014.7   6.6  15.7  -4.5 99.0 99.00
2005 02 11 22 00 295 10.1 12.5  1.31  5.26  4.77 257 1014.7   7.5  15.2  -3.4 99.0 99.00
2005 02 11 23 00 296  9.0 11.1  1.39  5.00  4.88 261 1015.2   8.1  15.2  -4.4 99.0 99.00
2005 02 12 00 00 317  8.6 11.4  1.24  4.76  4.66 261 1015.8   8.6  15.2  -5.0 99.0 99.00
2005 02 12 01 00 315  8.0  9.7  1.19  5.00  4.50 265 1016.2   9.0  15.6  -5.3 99.0 99.00
2005 02 12 02 00 318  7.8  9.8  1.16  4.55  4.34 283 1016.5   9.0  15.6  -4.8 99.0 99.00
2005 02 12 03 00 328  7.5  9.8  1.09  4.17  4.29 317 1016.4   8.9  15.7  -5.8 99.0 99.00
2005 02 12 04 00 326  7.4  9.7  1.08  4.00  4.22 290 1016.6   8.6  15.9  -7.0 99.0 99.00
2005 02 12 05 00 318 10.5 13.0  1.13  4.55  4.18 270 1016.8   8.0  15.9  -4.1 99.0 99.00
