YYYY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 09 20 10 00 108  7.1  8.2  1.28  7.14  5.34 111 1018.2  26.2  27.3  22.0 99.0 99.00
2007 09 20 11 00 103  7.3  8.5  1.34  7.69  5.49  94 1018.4  26.3  27.3  21.7 99.0 99.00
2007 09 20 12 00 110  7.7  8.8  1.36  7.14  5.34 113 1018.6  26.4  27.2  22.3 99.0 99.00
2007 09 20 13 00 113  7.0  8.7  1.29  6.25  5.29 117 1018.9  26.4  27.2  22.4 99.0 99.00
2007 09 20 14 00 106  7.1  8.3  1.28  7.69  5.37  82 1019.0  26.5  27.2  22.4 99.0 99.00
2007 09 20 15 00 112  6.4  7.7  1.29  6.25  5.14 101 1019.3  26.5  27.3  21.6 99.0 99.00
2007 09 20 16 00 119  5.7  6.6 99.00 99.00 99.00 999 1019.3  26.6  27.4  22.1 99.0 99.00
2007 09 20 17 00 131  4.5  6.0  1.36  7.14  5.33 120 1019.1  26.9  27.4  21.2 99.0 99.00
2007 09 20 18 00 144  4.3  5.1  1.26  7.14  5.38 117 1018.5  26.8  27.6  22.0 99.0 99.00
2007 09 20 19 00 119  5.1  6.2  1.31  7.69  5.48 108 1018.3  26.9  27.6  21.9 99.0 99.00
2007 09 20 20 00 105  4.5  5.3  1.24  7.14  5.43  82 1018.1  27.0  27.6  21.5 99.0 99.00
2007 09 20 21 00  91  4.3  5.0 99.00 99.00 99.00 999 1018.4  26.9  27.6  22.3 99.0 99.00
2007 09 20 22 00  78  4.9  5.7  1.23  7.14  5.56 122 1018.6  26.6  27.5  22.8 99.0 99.00
2007 09 20 23 00  77  6.0  7.0  1.23  7.69  5.32 112 1018.8  26.5  27.5  22.7 99.0 99.00
2007 09 21 00 00 135  5.9  7.7  1.29  7.14  5.50  97 1019.1  25.7  27.4  23.2 99.0 99.00
2007 09 21 01 00 152  6.4  7.2  1.24  8.33  5.34  74 1019.1  25.4  27.4  22.8 99.0 99.00
2007 09 21 02 00 128  3.4  4.2  1.17  5.88  5.40 118 1018.9  26.0  27.3  22.4 99.0 99.00
2007 09 21 03 00 105  6.6  7.7  1.26  7.14  5.43 117 1018.5  26.3  27.3  22.2 99.0 99.00
2007 09 21 04 00 113  6.7  7.7  1.26  7.14  5.37 105 1018.4  26.4  27.3  21.7 99.0 99.00
2007 09 21 05 00 112  6.6  7.7  1.10  6.67  5.19 103 1018.4  26.4  27.3  21.7 99.0 99.00
2007 09 21 06 00 123  6.0  6.8  1.07  7.14  5.17 108 1018.3  26.3  27.3  21.5 99.0 99.00
2007 09 21 07 00 115  5.8  6.9  1.03  7.14  5.05  75 1018.0  26.2  27.3  21.9 99.0 99.00
2007 09 21 08 00 120  5.3  6.3  1.07  7.14  5.17  75 1017.8  26.2  27.3  21.7 99.0 99.00
2007 09 21 09 00 125  4.9  6.1  1.08  6.25  5.50 121 1018.4  26.2  27.3  21.5 99.0 99.00
2007 09 21 10 00 118  4.4  5.3  1.05  7.69  5.48  80 1018.5  26.1  27.3  21.4 99.0 99.00
2007 09 21 11 00 125  4.5  5.3  1.11  6.67  5.67  70 1019.0  26.1  27.3  21.8 99.0 99.00
2007 09 21 12 00 105  4.5  5.4  1.02  5.88  5.72 110 1019.5  26.2  27.3  21.7 99.0 99.00
2007 09 21 13 00 107  4.3  5.2  1.03  7.69  5.68  88 1019.9  26.3  27.3  21.4 99.0 99.00
2007 09 21 14 00  97  4.6  5.4  1.02  6.25  5.53  90 1020.2  26.4  27.3  21.8 99.0 99.00
2007 09 21 15 00  89  5.1  6.2  1.03 10.00  5.74 111 1020.2  26.5  27.4  21.6 99.0 99.00
2007 09 21 16 00  95  4.6  5.8  1.03  9.09  5.56  95 1020.2  26.5  27.5  22.0 99.0 99.00
2007 09 21 17 00 100  4.4  5.4  1.09  7.14  5.52  87 1019.9  26.5  27.6  21.8 99.0 99.00
2007 09 21 18 00  95  3.7  4.4  1.01  9.09  5.90 100 1019.4  26.6  27.6  22.1 99.0 99.00
2007 09 21 19 00  90  3.5  5.6  1.06  7.69  5.60 108 1019.1  26.8  27.8  22.0 99.0 99.00
2007 09 21 20 00 104  3.0  3.7  1.03  7.14  5.50 105 1019.1  26.7  27.8  21.8 99.0 99.00
2007 09 21 21 00  90  3.5  4.4  1.02  7.14  5.56 123 1019.1  26.5  27.7  21.5 99.0 99.00
2007 09 21 22 00  85  3.1  4.3  1.02  9.09  5.85  96 1019.4  26.7  27.7  21.6 99.0 99.00
2007 09 21 23 00  81  3.0  4.0  1.02  8.33  6.07  95 1019.6  26.3  27.6  21.1 99.0 99.00
2007 09 22 00 00  91  2.7  3.3  0.99  9.09  6.05  88 1019.8  26.2  27.5  21.3 99.0 99.00
2007 09 22 01 00  94  2.9  3.7  1.02  9.09  6.20  92 1020.1  26.2  27.5  21.9 99.0 99.00
