#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 03 03 00 347  8.6 10.0  2.34 12.12  7.75 293 1021.2  12.5  13.1 999.0 99.0 99.00
2007 01 03 04 00 348  7.6  8.9  2.35 11.43  7.04 285 1021.1  12.1  13.1 999.0 99.0 99.00
2007 01 03 05 00 339  7.3  8.9  2.36 12.12  7.13 292 1021.1  12.2  13.0 999.0 99.0 99.00
2007 01 03 06 00 347  6.7  7.8  2.25 12.90  7.05 284 1021.1  12.1  13.0 999.0 99.0 99.00
2007 01 03 07 00 339  7.8  9.2  2.31 11.43  7.32 295 1021.3  11.8  13.0 999.0 99.0 99.00
2007 01 03 08 00 342  7.6  9.1  2.35 12.12  7.01 284 1020.9  12.1  13.0 999.0 99.0 99.00
2007 01 03 09 00 334  7.2  8.4  2.29 12.90  6.82 297 1020.7  11.9  13.0 999.0 99.0 99.00
2007 01 03 10 00 342  8.4 10.4  2.39 17.39  6.88 314 1021.1  11.3  13.0 999.0 99.0 99.00
2007 01 03 11 00 345  9.7 11.5  2.49 12.90  6.58 292 1021.3  11.1  13.0 999.0 99.0 99.00
2007 01 03 12 00 335  9.5 11.6  2.68 12.12  6.69 291 1020.7  11.4  13.0 999.0 99.0 99.00
2007 01 03 13 00 333 11.4 13.4  2.63 12.90  6.50 308 1020.8  11.3  13.0 999.0 99.0 99.00
2007 01 03 14 00 339 10.8 13.1  2.73 12.90  6.45 305 1020.7  11.7  13.0 999.0 99.0 99.00
2007 01 03 15 00 337 11.3 13.6  2.76 11.43  6.30 290 1021.0  11.5  13.1 999.0 99.0 99.00
2007 01 03 16 00 339 10.9 12.9  2.85 12.90  6.65 320 1021.5  11.6  13.1 999.0 99.0 99.00
2007 01 03 17 00 336  9.6 11.5  2.84 17.39  6.81 266 1022.2  11.9  13.1 999.0 99.0 99.00
2007 01 03 18 00 333  9.6 11.8  2.97 11.43  7.00 314 1022.6  12.6  13.1 999.0 99.0 99.00
2007 01 03 19 00 336  9.6 11.4  2.84 11.43  6.98 315 1022.7  12.6  13.1 999.0 99.0 99.00
2007 01 03 20 00 328  8.5 11.2  2.82 12.90  7.36 299 1021.7  12.8  13.0 999.0 99.0 99.00
2007 01 03 21 00 325  9.1 10.9  2.81 12.12  7.83 308 1021.2  12.7  13.1 999.0 99.0 99.00
2007 01 03 22 00 324  9.6 11.6  2.91 11.43  7.79 318 1021.1  12.5  13.0 999.0 99.0 99.00
2007 01 03 23 00 326  8.8 11.2  2.93 14.81  7.99 306 1021.4  12.8  13.1 999.0 99.0 99.00
2007 01 04 00 00 322  8.7 10.3  3.00 14.81  7.58 290 1021.4  13.0  13.1 999.0 99.0 99.00
2007 01 04 01 00 320  8.4 10.2  2.93 14.81  7.94 320 1021.5  13.1  13.1 999.0 99.0 99.00
2007 01 04 02 00 320  9.0 10.7  3.06 16.00  8.21 320 1021.4  13.1  13.1 999.0 99.0 99.00
2007 01 04 03 00 325  8.0  9.6  3.01 13.79  8.14 296 1021.5  13.3  13.1 999.0 99.0 99.00
2007 01 04 04 00 324  7.9  9.6  3.14 14.81  8.54 306 1021.5  13.5  13.1 999.0 99.0 99.00
2007 01 04 05 00 325  7.2  9.0  2.94 14.81  8.39 319 1022.0  13.2  13.1 999.0 99.0 99.00
2007 01 04 06 00 335  5.8  7.4  2.72 12.12  8.85 313 1022.2  13.0  13.1 999.0 99.0 99.00
2007 01 04 07 00 319  4.4  5.7  2.59 14.81  9.05 305 1022.2  12.9  13.1 999.0 99.0 99.00
2007 01 04 08 00 329  6.1  8.0  2.66 12.12  9.33 305 1022.1  13.4  13.2 999.0 99.0 99.00
2007 01 04 09 00 319  3.8  4.9  2.78 12.90  9.51 303 1021.7  13.1  13.2 999.0 99.0 99.00
2007 01 04 10 00 319  3.3  4.5  2.72 12.90  9.48 322 1021.8  13.0  13.2 999.0 99.0 99.00
2007 01 04 11 00 313  2.9  3.8  2.57 12.12  9.53 309 1021.8  13.0  13.3 999.0 99.0 99.00
2007 01 04 12 00 310  2.3  3.4  2.72 12.12  9.59 310 1021.5  13.1  13.3 999.0 99.0 99.00
2007 01 04 13 00 287  2.0  3.0  2.88 12.90 10.09 309 1021.3  13.1  13.3 999.0 99.0 99.00
2007 01 04 14 00 258  2.4  3.3  2.66 13.79 10.03 297 1021.2  13.1  13.3 999.0 99.0 99.00
2007 01 04 15 00 241  2.7  3.4  2.79 13.79 10.16 306 1020.8  13.1  13.3 999.0 99.0 99.00
2007 01 04 16 00 258  2.9  3.9  2.80 17.39 10.03 295 1020.7  13.2  13.3 999.0 99.0 99.00
2007 01 04 17 00 263  4.1  5.5  2.87 13.79 10.57 300 1020.9  13.2  13.3 999.0 99.0 99.00
2007 01 04 18 00 336 12.0 15.6  2.85 17.39 10.71 299 1021.1  12.5  13.3 999.0 99.0 99.00
2007 01 04 19 00 337 10.4 13.0  3.14 17.39  8.81 291 1021.6  12.3  13.3 999.0 99.0 99.00
2007 01 04 20 00 345 12.1 15.3  3.42 10.81  7.79 295 1021.1  11.4  13.2 999.0 99.0 99.00
2007 01 04 21 00 339 12.4 15.3  3.49 17.39  7.79 285 1020.8  11.2  13.2 999.0 99.0 99.00
2007 01 04 22 00 344 11.7 14.3  3.84 17.39  7.36 313 1020.9  12.0  13.2 999.0 99.0 99.00
2007 01 04 23 00 335 12.6 15.8  4.03 17.39  7.71 298 1021.1  12.2  13.2 999.0 99.0 99.00
2007 01 05 00 00 344 13.1 16.3  4.01 17.39  7.64 283 1021.6  11.7  13.2 999.0 99.0 99.00
2007 01 05 01 00 340 13.6 16.7  4.19 17.39  7.30 315 1021.8  11.6  13.2 999.0 99.0 99.00
2007 01 05 02 00 342 15.5 18.6  4.52 17.39  7.61 280 1022.2  11.4  13.2 999.0 99.0 99.00
2007 01 05 03 00 343 16.3 20.4  4.64 16.00  7.57 306 1022.7  11.4  13.1 999.0 99.0 99.00
2007 01 05 04 00 337 15.1 19.0  5.09 17.39  7.95 296 1022.6  11.3  13.1 999.0 99.0 99.00
2007 01 05 05 00 342 15.8 20.3  5.40 16.00  7.70 292 1023.1  11.2  13.1 999.0 99.0 99.00
2007 01 05 06 00 346 16.8 20.6  5.60 16.00  7.88 298 1023.4  11.3  13.1 999.0 99.0 99.00
2007 01 05 07 00 344 17.3 21.9  6.26 10.00  8.18 328 1024.0  11.0  13.1 999.0 99.0 99.00
2007 01 05 08 00 348 16.5 20.3  6.53 10.81  8.25 318 1024.4  10.6  13.1 999.0 99.0 99.00
2007 01 05 09 00 354 14.7 18.0  6.00 11.43  8.41 329 1024.2  10.6  13.1 999.0 99.0 99.00
2007 01 05 10 00 351 15.9 19.8  6.20 10.81  8.71 330 1024.5  10.7  13.1 999.0 99.0 99.00
2007 01 05 11 00 350 15.8 20.8  6.83 11.43  9.02 320 1025.0  10.6  13.0 999.0 99.0 99.00
2007 01 05 12 00 353 16.1 20.6  6.53 10.81  8.76 325 1025.3  10.3  12.9 999.0 99.0 99.00
2007 01 05 13 00 359 15.2 18.8  6.76 11.43  8.69 319 1025.6  10.4  12.9 999.0 99.0 99.00
2007 01 05 14 00 357 15.7 19.5  6.53 11.43  9.03 309 1026.2  10.4  12.8 999.0 99.0 99.00
2007 01 05 15 00 351 16.4 20.3  6.92 11.43  9.09 321 1026.3  10.2  12.7 999.0 99.0 99.00
2007 01 05 16 00 352 15.7 19.1  6.42 12.90  8.62 301 1027.1  10.2  12.7 999.0 99.0 99.00
2007 01 05 17 00 346 15.0 18.6  6.00 12.12  8.69 311 1027.8  10.2  12.7 999.0 99.0 99.00
2007 01 05 18 00 347 14.9 18.5  6.03 12.12  8.68 317 1028.0  10.3  12.8 999.0 99.0 99.00
2007 01 05 19 00 343 14.7 18.6  6.35 12.12  8.86 310 1027.9  10.3  12.8 999.0 99.0 99.00
2007 01 05 20 00 343 15.7 19.1  6.27 11.43  8.97 316 1027.4  10.3  12.8 999.0 99.0 99.00
2007 01 05 21 00 348 15.9 19.2  6.24 12.12  8.53 314 1026.8  10.6  12.8 999.0 99.0 99.00
2007 01 05 22 00 345 15.8 19.5  5.97 11.43  8.67 312 1026.8  10.8  12.8 999.0 99.0 99.00
2007 01 05 23 00 342 14.1 17.5  5.88 11.43  8.31 313 1027.7  11.1  12.8 999.0 99.0 99.00
