YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2002 01 03 06 315  3.8  5.1  3.52 14.29  9.84 999 1018.9  12.2  12.5 999.0 99.0 99.00
2002 01 03 07 320  4.9  6.1  3.76 14.29 10.18 999 1019.4  11.9  12.5 999.0 99.0 99.00
2002 01 03 08 315  5.5  6.4  3.42 14.29 10.04 999 1019.6  11.7  12.5 999.0 99.0 99.00
2002 01 03 09 315  6.1  8.1  3.81 12.50 10.27 999 1020.4  11.0  12.5 999.0 99.0 99.00
2002 01 03 10 326  8.5 10.4  3.28 12.50  9.38 999 1020.5  10.6  12.5 999.0 99.0 99.00
2002 01 03 11 329  7.1  8.8  3.96 12.50  9.71 999 1021.0  10.6  12.5 999.0 99.0 99.00
2002 01 03 12 318  6.9  9.0  3.27 12.50  8.80 999 1020.5  11.7  12.3 999.0 99.0 99.00
2002 01 03 13 315  7.6  9.2  3.74 12.50  9.29 999 1020.5  11.8  12.2 999.0 99.0 99.00
2002 01 03 14 305  7.8  9.4  3.14 14.29  8.32 999 1020.8  12.1  12.2 999.0 99.0 99.00
2002 01 03 15 329  5.6  7.0  3.35 12.50  8.90 999 1021.5  12.1  12.2 999.0 99.0 99.00
2002 01 03 16 329  5.6  7.3  3.57 12.50  9.48 999 1022.1  12.1  12.2 999.0 99.0 99.00
2002 01 03 17 325  6.8  8.2  3.26 11.11  8.88 999 1022.5  12.2  12.2 999.0 99.0 99.00
2002 01 03 18 337  5.4  6.9  3.38 12.50  9.13 999 1023.5  12.1  12.2 999.0 99.0 99.00
2002 01 03 19 349  5.1  6.3  3.43 12.50  9.71 999 1023.4  11.5  12.5 999.0 99.0 99.00
2002 01 03 20 344  5.5  6.9  3.10 12.50  9.38 999 1023.0  12.0  12.5 999.0 99.0 99.00
2002 01 03 21 325  7.3  8.9  2.85 12.50  8.90 999 1022.7  12.2  12.6 999.0 99.0 99.00
2002 01 03 22 322  8.4  9.9  2.70 12.50  8.23 999 1022.7  12.1  12.6 999.0 99.0 99.00
2002 01 03 23 325  8.7 10.5  2.95 12.50  8.16 999 1022.7  11.8  12.6 999.0 99.0 99.00
2002 01 04 00 320  9.0 11.0  2.84 12.50  7.47 999 1022.5  11.8  12.6 999.0 99.0 99.00
2002 01 04 01 315  9.5 12.3  3.31 14.29  8.08 999 1022.7  12.1  12.6 999.0 99.0 99.00
2002 01 04 02 316 10.2 12.1  3.31 12.50  8.31 999 1023.0  12.1  12.6 999.0 99.0 99.00
2002 01 04 03 326  9.3 11.2  3.25 14.29  8.02 999 1023.4  12.1  12.5 999.0 99.0 99.00
2002 01 04 04 322  8.2  9.9  3.71 12.50  9.03 999 1023.6  12.1  12.5 999.0 99.0 99.00
2002 01 04 05 336  7.3  8.9  3.43 12.50  8.71 999 1023.8  12.1  12.5 999.0 99.0 99.00
2002 01 04 06 342  5.8  6.9  3.27 12.50  8.87 999 1023.7  12.1  12.5 999.0 99.0 99.00
2002 01 04 07 334  5.7  6.9  3.50 14.29  9.48 999 1023.5  12.1  12.5 999.0 99.0 99.00
2002 01 04 08 337  4.9  6.2  3.15 12.50  9.40 999 1023.3  12.1  12.5 999.0 99.0 99.00
2002 01 04 09 342  4.3  5.5  3.05 12.50  9.12 999 1023.0  12.1  12.5 999.0 99.0 99.00
2002 01 04 10 354  2.2  2.7  2.92 12.50  9.10 999 1022.5  11.8  12.5 999.0 99.0 99.00
2002 01 04 11 199  1.9  2.8  2.91 12.50  9.17 999 1022.6  11.7  12.5 999.0 99.0 99.00
2002 01 04 12 241  1.6  2.7  2.88 12.50  9.35 999 1022.0  11.7  12.5 999.0 99.0 99.00
2002 01 04 13 252  1.9  2.8  2.84 12.50  9.17 999 1021.9  11.4  12.5 999.0 99.0 99.00
2002 01 04 14 252  3.1  4.3  2.75 12.50  8.62 999 1022.6  11.4  12.5 999.0 99.0 99.00
2002 01 04 15 238  3.3  4.3  2.45 12.50  8.63 999 1023.5  11.4  12.5 999.0 99.0 99.00
2002 01 04 16 207  1.6  2.5  2.79 12.50  9.34 999 1023.5  11.5  12.6 999.0 99.0 99.00
2002 01 04 17 195  2.1  3.1  2.29 12.50  8.60 999 1024.1  11.8  12.6 999.0 99.0 99.00
2002 01 04 18 172  1.5  2.1  2.48 12.50  9.14 999 1024.5  12.1  12.6 999.0 99.0 99.00
2002 01 04 19 120  2.8  3.9  2.52 12.50  9.08 999 1024.4  12.7  12.6 999.0 99.0 99.00
2002 01 04 20 105  3.8  5.5  2.26 12.50  8.90 999 1023.4  12.8  12.8 999.0 99.0 99.00
2002 01 04 21 158  2.8  3.5  2.15 12.50  8.80 999 1022.9  12.9  12.8 999.0 99.0 99.00
2002 01 04 22 196  3.9  4.6  2.18 12.50  9.28 999 1022.6  12.8  12.8 999.0 99.0 99.00
2002 01 04 23 220  4.6  5.4  1.78 12.50  8.64 999 1022.8  12.5  12.8 999.0 99.0 99.00
2002 01 05 00 187  3.0  3.5  2.08 11.11  9.15 999 1022.8  12.3  12.8 999.0 99.0 99.00
2002 01 05 01 183  2.4  3.0  1.95 12.50  8.87 999 1022.7  12.1  12.8 999.0 99.0 99.00
2002 01 05 02 242  3.8  5.7  2.08 11.11  9.14 999 1024.2  11.8  12.6 999.0 99.0 99.00
2002 01 05 03 272  4.3  5.2  2.02 11.11  9.13 999 1025.0  11.8  12.6 999.0 99.0 99.00
2002 01 05 04 317  2.4  3.2  2.01 12.50  8.96 999 1025.6  11.8  12.6 999.0 99.0 99.00
2002 01 05 05  29  2.8  3.4  1.91 10.00  9.11 999 1025.5  11.8  12.6 999.0 99.0 99.00
2002 01 05 06  74  2.0  3.0  1.79 11.11  9.39 999 1025.6  11.7  12.5 999.0 99.0 99.00
2002 01 05 07 170  1.9  2.5  1.95 11.11  9.34 999 1026.2  11.8  12.5 999.0 99.0 99.00
2002 01 05 08 194  3.1  3.9  1.78 11.11  9.31 999 1025.8  11.7  12.5 999.0 99.0 99.00
2002 01 05 09 215  3.8  4.6  1.62 11.11  9.04 999 1025.8  11.7  12.5 999.0 99.0 99.00
2002 01 05 10 161  2.0  2.5  1.47 10.00  8.56 999 1025.8  11.7  12.5 999.0 99.0 99.00
2002 01 05 11 125  2.6  3.3  1.50 11.11  8.96 999 1025.4  11.7  12.5 999.0 99.0 99.00
2002 01 05 12 121  2.3  3.1  1.40 11.11  8.44 999 1025.2  11.7  12.2 999.0 99.0 99.00
2002 01 05 13 178  1.8  2.2  1.48 11.11  9.07 999 1025.0  11.7  12.1 999.0 99.0 99.00
2002 01 05 14 263  1.1  1.7  1.18 11.11  8.36 999 1025.9  11.7  12.1 999.0 99.0 99.00
2002 01 05 15 321  0.1  0.5  1.32 12.50  9.05 999 1026.8  11.4  12.1 999.0 99.0 99.00
2002 01 05 16  92  1.7  2.5  1.28 11.11  9.19 999 1026.7  11.7  12.1 999.0 99.0 99.00
2002 01 05 17 145  2.0  2.5  1.33 12.50  9.60 999 1027.3  12.5  12.1 999.0 99.0 99.00
2002 01 05 18 167  1.1  1.4  1.29 12.50  9.59 999 1028.8  13.3  12.1 999.0 99.0 99.00
2002 01 05 19 183  2.3  3.2  1.18 12.50  9.33 999 1028.7  12.6  12.2 999.0 99.0 99.00
2002 01 05 20 137  2.0  3.3  1.28 12.50  9.75 999 1027.6  12.9  12.5 999.0 99.0 99.00
2002 01 05 21 113  4.1  4.9  1.26 11.11  9.97 999 1026.1  12.5  12.6 999.0 99.0 99.00
2002 01 05 22 125  3.5  4.3  1.46 12.50 10.29 999 1025.9  12.6  12.6 999.0 99.0 99.00
2002 01 05 23 161  2.6  3.2  1.38 11.11 10.08 999 1026.6  12.8  12.6 999.0 99.0 99.00
2002 01 06 00 156  1.9  2.4  1.42 14.29 10.44 999 1026.0  12.8  12.6 999.0 99.0 99.00
2002 01 06 01 200  1.4  1.7  1.56 12.50  9.85 999 1026.0  12.5  12.6 999.0 99.0 99.00
2002 01 06 02 212  1.7  2.5  1.61 11.11  9.78 999 1026.6  12.5  12.6 999.0 99.0 99.00
