YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2003 01 01 00 314  6.2  7.9  4.90 14.29 10.65 286 1024.2  13.4  13.6 999.0 99.0 99.00
2003 01 01 01 307  7.6  9.9  4.61 14.29 10.27 285 1024.2  13.3  13.6 999.0 99.0 99.00
2003 01 01 02 326  9.1 11.0  5.29 14.29 10.49 286 1024.2  13.3  13.6 999.0 99.0 99.00
2003 01 01 03 330  7.9 10.0  5.53 14.29 10.40 289 1024.7  13.3  13.6 999.0 99.0 99.00
2003 01 01 04 329  7.3  9.0  4.99 12.50 10.13 284 1025.0  12.9  13.6 999.0 99.0 99.00
2003 01 01 05 329  7.5  9.6  4.45 14.29  9.33 285 1025.0  12.9  13.6 999.0 99.0 99.00
2003 01 01 06 334  8.2  9.9  4.79 12.50  9.51 282 1025.1  12.9  13.6 999.0 99.0 99.00
2003 01 01 07 337  6.9  8.8  4.42 12.50  9.28 286 1025.0  12.8  13.7 999.0 99.0 99.00
2003 01 01 08 331  7.2  9.1  4.68 12.50  9.68 285 1025.0  12.8  13.7 999.0 99.0 99.00
2003 01 01 09 316  7.8  9.6  4.47 12.50  9.41 281 1024.9  12.8  13.7 999.0 99.0 99.00
2003 01 01 10 323  7.3  8.9  4.40 14.29  9.63 277 1025.1  12.6  13.7 999.0 99.0 99.00
2003 01 01 11 332  6.6  7.9  4.38 12.50  9.53 282 1025.3  12.6  13.7 999.0 99.0 99.00
2003 01 01 12 331  5.9  7.3  4.30 14.29  9.51 280 1025.4  12.6  14.1 999.0 99.0 99.00
2003 01 01 13 336  5.3  6.7  5.31 14.29 10.90 287 1025.1  12.5  14.0 999.0 99.0 99.00
2003 01 01 14 330  5.9  8.0  5.21 14.29 10.91 293 1025.1  12.7  13.8 999.0 99.0 99.00
2003 01 01 15 331  4.9  6.8  5.39 14.29 11.51 285 1025.0  12.6  13.7 999.0 99.0 99.00
2003 01 01 16 315  5.3  7.3  4.93 14.29 11.44 286 1025.3  12.8  13.8 999.0 99.0 99.00
2003 01 01 17 354  2.7  3.8  5.24 14.29 11.71 290 1025.7  12.9  14.1 999.0 99.0 99.00
2003 01 01 18 149  2.2  4.7  6.14 14.29 12.10 305 1025.9  13.6  14.1 999.0 99.0 99.00
2003 01 01 19 180  3.6  6.3  5.45 14.29 12.18 299 1025.7  13.4  14.1 999.0 99.0 99.00
2003 01 01 20 180  3.8  6.5  4.91 14.29 11.42 291 1024.4  13.3  14.1 999.0 99.0 99.00
2003 01 01 21 192  3.0  4.3  5.10 16.67 11.35 286 1023.9  13.3  14.1 999.0 99.0 99.00
2003 01 01 22 226  2.4  3.5  4.50 14.29 11.38 293 1023.6  13.4  14.2 999.0 99.0 99.00
2003 01 01 23 291  2.1  3.6  4.27 16.67 11.28 279 1023.5  13.6  14.2 999.0 99.0 99.00
2003 01 02 00 297  2.7  4.5  4.73 14.29 10.99 286 1023.6  13.6  14.1 999.0 99.0 99.00
2003 01 02 01 327  2.4  3.9  4.25 16.67 10.77 278 1023.6  13.3  14.1 999.0 99.0 99.00
2003 01 02 02 356  1.9  3.3  4.72 16.67 11.51 283 1023.5  12.9  14.1 999.0 99.0 99.00
2003 01 02 03  61  2.5  3.7  4.35 16.67 10.98 287 1022.9  13.1  14.1 999.0 99.0 99.00
2003 01 02 04  52  1.4  2.3  3.92 16.67 11.29 286 1023.1  13.3  14.0 999.0 99.0 99.00
2003 01 02 05 341  2.5  3.6  3.49 16.67 10.82 288 1023.3  13.3  13.7 999.0 99.0 99.00
2003 01 02 06  17  2.6  3.6  3.57 16.67 10.73 291 1022.6  13.3  13.7 999.0 99.0 99.00
2003 01 02 07 323  4.2  5.5  3.46 16.67 10.56 288 1022.7  13.4  13.9 999.0 99.0 99.00
2003 01 02 08 326  4.9  6.0  4.01 14.29 11.71 292 1022.7  13.3  13.8 999.0 99.0 99.00
2003 01 02 09 352  3.9  4.8  3.35 14.29 10.68 293 1022.6  13.4  13.7 999.0 99.0 99.00
2003 01 02 10  10  3.6  4.5  3.39 14.29 10.82 293 1022.6  13.4  13.7 999.0 99.0 99.00
2003 01 02 11 316  5.1  6.4  3.47 14.29 10.96 292 1022.9  13.4  13.7 999.0 99.0 99.00
2003 01 02 12 332  3.3  4.7  3.32 14.29 10.67 289 1022.8  13.3  13.7 999.0 99.0 99.00
2003 01 02 13  69  1.4  2.5  3.59 14.29 11.25 297 1022.6  13.3  13.7 999.0 99.0 99.00
2003 01 02 14 191  0.6  1.4  3.68 14.29 11.76 293 1022.4  13.3  13.7 999.0 99.0 99.00
2003 01 02 15 270  3.4  4.9  3.73 14.29 11.73 292 1022.7  13.4  13.7 999.0 99.0 99.00
2003 01 02 16 317  1.6  2.5  3.08 12.50 11.19 298 1022.8  13.4  13.7 999.0 99.0 99.00
2003 01 02 17 142  0.1  0.7  2.80 16.67 11.25 277 1023.0  14.1  13.7 999.0 99.0 99.00
2003 01 02 18 132  0.5  2.3  2.98 16.67 11.29 282 1023.1  14.4  14.0 999.0 99.0 99.00
2003 01 02 19 257  1.2  2.2  2.53 16.67 10.28 282 1022.7  14.1  14.1 999.0 99.0 99.00
2003 01 02 20 271  1.8  2.7  2.86 16.67 11.03 282 1022.1  14.1  14.1 999.0 99.0 99.00
2003 01 02 21 270  3.2  4.1  2.73 16.67 10.81 279 1021.3  14.2  14.1 999.0 99.0 99.00
2003 01 02 22 307  2.6  4.0  2.36 16.67 10.91 285 1021.0  14.0  14.1 999.0 99.0 99.00
2003 01 02 23 311  2.4  3.5  2.43 16.67 10.63 279 1020.4  13.7  14.1 999.0 99.0 99.00
2003 01 03 00 292  4.3  5.4  2.37 16.67 10.67 271 1020.8  14.0  14.1 999.0 99.0 99.00
2003 01 03 01 289  7.3  9.1  2.51 16.67 10.82 282 1021.6  13.7  14.1 999.0 99.0 99.00
2003 01 03 02 299  6.3  7.8  2.64 14.29 10.99 284 1021.7  14.1  14.1 999.0 99.0 99.00
2003 01 03 03 306  7.3  9.1  2.74 14.29  9.75 280 1021.9  14.1  14.1 999.0 99.0 99.00
2003 01 03 04 322  7.0  8.6  2.80 14.29  9.91 290 1021.6  14.1  14.1 999.0 99.0 99.00
2003 01 03 05 318  4.5  5.7  3.49 16.67 11.28 294 1021.0  14.0  14.1 999.0 99.0 99.00
2003 01 03 06 294  6.0  7.7  2.91 14.29 11.00 290 1021.2  13.7  14.1 999.0 99.0 99.00
2003 01 03 07 303  7.2  8.7  3.25 14.29 11.09 294 1021.8  14.1  14.1 999.0 99.0 99.00
2003 01 03 08 320  7.6  9.6  3.20 14.29 10.12 280 1022.1  14.2  14.1 999.0 99.0 99.00
2003 01 03 09 316  5.7  7.3  2.99 14.29  9.61 284 1021.2  14.2  14.1 999.0 99.0 99.00
2003 01 03 10 307  5.8  7.1  3.26 12.50 10.21 298 1021.1  14.2  14.1 999.0 99.0 99.00
2003 01 03 11 333  3.4  4.2  3.30 12.50 10.15 295 1020.6  14.4  14.1 999.0 99.0 99.00
2003 01 03 12 310  4.6  5.7  2.96 14.29  9.96 282 1020.5  14.4  14.0 999.0 99.0 99.00
2003 01 03 13 309  2.9  3.8  2.85 12.50  9.78 278 1019.6  14.4  13.7 999.0 99.0 99.00
2003 01 03 14 302  2.2  3.4  2.92 16.67 10.41 277 1019.7  14.1  13.7 999.0 99.0 99.00
2003 01 03 15 282  4.2  6.3  2.67 14.29  9.89 275 1020.8  14.1  13.7 999.0 99.0 99.00
2003 01 03 16 310  7.0  8.5  2.45 14.29  9.59 281 1021.2  14.1  14.0 999.0 99.0 99.00
2003 01 03 17 322  6.7  7.9  2.46 14.29  8.78 275 1021.3  13.6  14.0 999.0 99.0 99.00
2003 01 03 18 308  5.5  7.2  2.55 12.50  8.54 280 1021.2  13.7  14.1 999.0 99.0 99.00
2003 01 03 19 340  4.4  5.3  2.52 14.29  8.70 285 1020.9  14.1  14.1 999.0 99.0 99.00
2003 01 03 20 312  4.6  5.6  2.59 14.29  8.93 293 1020.5  14.2  14.1 999.0 99.0 99.00
2003 01 03 21 306  6.5  8.0  2.64 12.50  9.00 290 1020.2  14.1  14.1 999.0 99.0 99.00
2003 01 03 22 316  5.8  6.9  2.64 12.50  8.81 286 1019.7  14.1  14.1 999.0 99.0 99.00
2003 01 03 23 318  5.9  7.3  3.01 12.50  9.55 287 1019.8  14.1  14.1 999.0 99.0 99.00
2003 01 04 00 314  5.9  7.7  2.73 14.29  9.20 284 1020.2  14.1  14.1 999.0 99.0 99.00
2003 01 04 01 320  5.3  6.8  2.83 12.50  9.08 299 1019.7  13.7  14.1 999.0 99.0 99.00
2003 01 04 02 308  6.0  7.9  2.99 11.11  9.33 295 1020.1  13.7  14.1 999.0 99.0 99.00
2003 01 04 03 308  5.6  7.1  3.12 12.50  9.61 297 1020.4  13.7  14.1 999.0 99.0 99.00
2003 01 04 04 305  6.5  8.3  3.00 12.50  9.65 291 1020.7  13.7  14.1 999.0 99.0 99.00
2003 01 04 05 308  6.0  7.5  3.12 12.50  9.71 292 1021.0  13.6  13.7 999.0 99.0 99.00
2003 01 04 06 304  5.6  7.3  3.00 11.11  9.58 294 1021.2  13.6  13.7 999.0 99.0 99.00
