YYYY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 10 12 02 00 356  2.9  3.8  1.82 10.00  7.05 285 1012.9  12.2  12.3 999.0 99.0 99.00
2007 10 12 03 00   3  3.0  4.0  1.73 10.00  7.18 287 1012.8  12.2  12.1 999.0 99.0 99.00
2007 10 12 04 00 104  1.5  2.3  1.49 10.00  7.21 281 1012.6  12.2  11.9 999.0 99.0 99.00
2007 10 12 05 00  93  0.4  1.3  1.43  8.33  7.17 242 1012.4  11.9  11.9 999.0 99.0 99.00
2007 10 12 06 00  31  0.1  0.4  1.52  9.09  7.54 229 1012.2  11.9  11.8 999.0 99.0 99.00
2007 10 12 07 00 131  2.7  3.4  1.35 10.00  7.45 259 1012.0  12.3  11.8 999.0 99.0 99.00
2007 10 12 08 00 113  3.1  4.0  1.56  9.09  7.23 240 1011.8  12.1  11.8 999.0 99.0 99.00
2007 10 12 09 00 104  2.4  3.4  1.89  9.09  7.87 242 1011.3  12.0  11.8 999.0 99.0 99.00
2007 10 12 10 00  91  3.6  5.0  2.23 10.00  8.26 248 1011.2  12.0  11.8 999.0 99.0 99.00
2007 10 12 11 00  98  2.4  3.5  2.43 10.00  8.46 248 1011.0  11.9  12.0 999.0 99.0 99.00
2007 10 12 12 00 105  1.6  2.6  2.90 10.00  8.80 245 1011.0  12.0  12.1 999.0 99.0 99.00
2007 10 12 13 00 102  0.9  2.0  2.83 10.00  8.69 240 1011.3  11.7  12.1 999.0 99.0 99.00
2007 10 12 14 00  51  0.9  1.7  2.69 10.81  8.51 238 1011.5  11.6  12.1 999.0 99.0 99.00
2007 10 12 15 00 110  0.4  0.9  2.48 10.81  8.27 234 1011.5  11.6  12.1 999.0 99.0 99.00
2007 10 12 16 00 136  0.5  1.0  2.47 11.43  8.53 239 1011.6  11.8  12.0 999.0 99.0 99.00
2007 10 12 17 00 197  0.5  1.2  2.20 10.81  8.22 225 1011.8  11.8  11.9 999.0 99.0 99.00
2007 10 12 18 00 298  1.1  1.5  2.06 12.12  8.21 227 1012.0  12.0  11.8 999.0 99.0 99.00
2007 10 12 19 00 265  1.3  1.7  1.91 12.12  8.44 233 1012.3  12.1  12.0 999.0 99.0 99.00
2007 10 12 20 00 298  2.0  2.5  2.04 11.43  8.56 229 1012.4  12.3  12.3 999.0 99.0 99.00
2007 10 12 21 00 332  3.0  3.7  2.33 11.43  8.94 224 1012.2  12.2  12.4 999.0 99.0 99.00
2007 10 12 22 00 316  1.6  2.4  2.32 10.81  9.02 226 1012.0  12.3  12.6 999.0 99.0 99.00
2007 10 12 23 00 302  3.6  4.4  2.16 10.81  8.97 233 1012.2  12.5  12.7 999.0 99.0 99.00
2007 10 13 00 00 314  4.2  5.2  1.92 10.81  8.82 235 1012.4  12.6  12.8 999.0 99.0 99.00
2007 10 13 01 00 320  3.4  4.4  2.09 10.00  8.90 231 1012.3  12.5  12.9 999.0 99.0 99.00
2007 10 13 02 00 308  3.3  4.0  2.16 10.00  8.88 243 1012.9  12.3  12.9 999.0 99.0 99.00
2007 10 13 03 00 314  3.8  4.5  2.35 10.00  9.16 237 1013.7  12.3  12.9 999.0 99.0 99.00
2007 10 13 04 00 341  3.9  4.9  2.39 10.00  9.09 238 1014.0  12.3  12.8 999.0 99.0 99.00
2007 10 13 05 00 340  4.0  5.0  2.22 10.00  8.58 240 1014.5  12.1  12.6 999.0 99.0 99.00
2007 10 13 06 00 327  4.2  5.2  2.32 10.00  8.39 241 1014.9  12.1  12.5 999.0 99.0 99.00
2007 10 13 07 00 340  3.9  5.0  2.31 11.43  8.28 266 1015.2  12.0  12.4 999.0 99.0 99.00
2007 10 13 08 00 340  3.9  4.7  2.39  9.09  8.29 236 1015.4  11.9  12.3 999.0 99.0 99.00
2007 10 13 09 00 339  3.2  3.9  2.12  9.09  8.18 229 1015.5  11.8  12.1 999.0 99.0 99.00
2007 10 13 10 00  37  1.8  2.5  1.93  9.09  8.35 217 1015.7  11.6  12.1 999.0 99.0 99.00
2007 10 13 11 00  79  0.5  1.0  1.89 12.12  8.26 273 1015.9  11.7  12.1 999.0 99.0 99.00
2007 10 13 12 00  96  2.1  3.1  1.66 13.79  8.47 286 1016.1  11.7  12.0 999.0 99.0 99.00
2007 10 13 13 00 128  2.3  2.9  1.78 12.90  8.93 280 1016.6  11.4  12.3 999.0 99.0 99.00
2007 10 13 14 00 133  3.0  4.1  1.75 12.12  8.75 272 1016.7  11.2  12.4 999.0 99.0 99.00
2007 10 13 15 00 136  3.6  4.7  1.88 12.12  9.41 280 1016.9  10.4  12.4 999.0 99.0 99.00
2007 10 13 16 00 151  3.4  4.3  1.76 12.12  9.30 281 1017.3  11.1  12.4 999.0 99.0 99.00
2007 10 13 17 00 137  4.0  4.7  1.81 12.90  9.45 281 1017.6  11.5  12.5 999.0 99.0 99.00
2007 10 13 18 00 146  4.1  5.1  1.88 10.81  9.20 274 1017.6  11.4  12.5 999.0 99.0 99.00
2007 10 13 19 00 147  2.6  3.5  2.05 11.43  9.47 281 1017.6  11.7  12.6 999.0 99.0 99.00
2007 10 13 20 00 167  2.8  3.5  2.21 11.43  9.68 279 1017.6  11.9  12.6 999.0 99.0 99.00
2007 10 13 21 00 176  2.9  3.6  2.15 11.43  9.71 277 1017.3  12.0  12.7 999.0 99.0 99.00
2007 10 13 22 00 191  1.9  2.3  2.31 10.81  9.25 277 1016.9  12.3  12.7 999.0 99.0 99.00
2007 10 13 23 00 256  1.5  2.2  2.26 10.00  9.02 274 1016.7  12.4  12.7 999.0 99.0 99.00
2007 10 14 00 00 289  1.2  1.7  1.90 10.81  8.79 279 1016.4  12.5  12.8 999.0 99.0 99.00
