YYYY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 01 03 02 50 999 99.0 99.0  2.45 10.00  6.52 279 1015.4   4.3   7.4 999.0 99.0 99.00
2009 01 03 03 50 999 99.0 99.0  2.09  9.09  6.64 250 1015.9   4.6   7.3 999.0 99.0 99.00
2009 01 03 04 50 999 99.0 99.0  2.07  9.09  6.80 260 1016.4   4.2   7.3 999.0 99.0 99.00
2009 01 03 05 50 999 99.0 99.0  2.02  9.09  6.79 274 1016.8   5.0   7.4 999.0 99.0 99.00
2009 01 03 06 50 999 99.0 99.0  2.02 10.00  6.73 258 1017.4   5.0   7.5 999.0 99.0 99.00
2009 01 03 07 50 999 99.0 99.0  1.93 10.00  6.92 268 1018.1   5.2   7.3 999.0 99.0 99.00
2009 01 03 08 50 999 99.0 99.0  1.87 10.00  6.57 266 1018.3   5.3   7.3 999.0 99.0 99.00
2009 01 03 09 50 999 99.0 99.0  1.77  9.09  6.66 252 1018.6   4.2   7.2 999.0 99.0 99.00
2009 01 03 10 50 999 99.0 99.0  2.09  9.09  7.04 258 1019.2   5.1   7.2 999.0 99.0 99.00
2009 01 03 11 50 999 99.0 99.0  2.00  8.33  6.87 263 1019.2   5.9   7.1 999.0 99.0 99.00
2009 01 03 12 50 999 99.0 99.0  2.04  9.09  6.44 264 1019.6   5.4   7.2 999.0 99.0 99.00
2009 01 03 13 50 999 99.0 99.0  1.98  8.33  6.54 255 1019.6   5.8   7.2 999.0 99.0 99.00
2009 01 03 14 50 999 99.0 99.0  2.03  9.09  6.60 267 1019.9   4.7   7.2 999.0 99.0 99.00
2009 01 03 15 50 999 99.0 99.0  2.00  9.09  6.02 281 1020.2   6.3   7.2 999.0 99.0 99.00
2009 01 03 16 50 999 99.0 99.0  2.06  9.09  5.92 278 1020.9   6.2   7.2 999.0 99.0 99.00
2009 01 03 17 50 999 99.0 99.0  1.88  8.33  5.76 269 1021.5   6.0   7.2 999.0 99.0 99.00
2009 01 03 18 50 999 99.0 99.0  1.74  8.33  5.49 284 1022.0   5.7   7.3 999.0 99.0 99.00
2009 01 03 19 50 999 99.0 99.0  2.02  8.33  6.18 267 1021.5   6.1   7.4 999.0 99.0 99.00
2009 01 03 20 50 999 99.0 99.0  2.00  9.09  6.27 259 1021.4   6.7   7.5 999.0 99.0 99.00
2009 01 03 21 50 999 99.0 99.0  2.03  9.09  6.19 263 1021.1   6.4   7.6 999.0 99.0 99.00
2009 01 03 22 50 999 99.0 99.0  1.83  9.09  6.11 273 1021.3   6.7   7.7 999.0 99.0 99.00
2009 01 03 23 50 999 99.0 99.0  2.01  8.33  6.20 271 1021.7   6.5   7.8 999.0 99.0 99.00
2009 01 04 00 50 999 99.0 99.0  2.18  9.09  6.46 278 1022.1   6.8   7.9 999.0 99.0 99.00
2009 01 04 01 50 999 99.0 99.0  2.13  8.33  6.18 290 1021.4   6.9   8.2 999.0 99.0 99.00
2009 01 04 02 50 999 99.0 99.0  2.04  8.33  6.04 277 1021.8   6.8   8.2 999.0 99.0 99.00
