YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 03 07 329  8.2  9.8  2.46 11.11  7.03 296 1019.7  11.3  12.9 999.0 99.0 99.00
2004 01 03 08 322  9.2 11.8  2.40 12.50  7.24 304 1019.6  11.2  12.9 999.0 99.0 99.00
2004 01 03 09 327  8.8 11.6  2.73 12.50  7.05 306 1019.6  10.6  12.9 999.0 99.0 99.00
2004 01 03 10 331  9.5 11.5  2.48 12.50  6.78 302 1020.2  11.0  12.9 999.0 99.0 99.00
2004 01 03 11 332 10.6 13.5  2.56 12.50  6.64 303 1020.4  10.7  12.9 999.0 99.0 99.00
2004 01 03 12 333  9.7 13.1  2.61 12.50  6.78 304 1020.4  10.6  12.9 999.0 99.0 99.00
2004 01 03 13 329 10.0 12.3  2.65 12.50  6.71 306 1020.3  10.6  13.3 999.0 99.0 99.00
2004 01 03 14 335  8.4 10.5  2.70 12.50  7.20 302 1020.9  10.4  13.3 999.0 99.0 99.00
2004 01 03 15 342  9.8 12.0  2.39 12.50  6.79 313 1021.7  10.2  13.3 999.0 99.0 99.00
2004 01 03 16 340  8.4 10.7  2.92 12.50  7.24 297 1022.5  10.2  13.4 999.0 99.0 99.00
2004 01 03 17 324  7.7 10.2  2.67 12.50  7.09 305 1023.6   9.9  13.4 999.0 99.0 99.00
2004 01 03 18 335  8.8 11.3 99.00 99.00 99.00 310 1024.9  10.4  13.4 999.0 99.0 99.00
2004 01 03 19 332  7.9  9.6 99.00 99.00 99.00 999 1025.4   9.8  13.4 999.0 99.0 99.00
2004 01 03 20 326  7.5 10.2  2.61 12.50  7.26 302 1024.8  10.2  13.4 999.0 99.0 99.00
2004 01 03 21 335  9.1 11.2  2.53 12.50  7.15 304 1024.3  10.2  13.4 999.0 99.0 99.00
2004 01 03 22 333  9.3 10.9  2.60 12.50  6.95 308 1024.2  10.3  13.4 999.0 99.0 99.00
2004 01 03 23 332 10.1 12.1  2.21 11.11  6.22 302 1024.3  10.5  13.4 999.0 99.0 99.00
2004 01 04 00 325 10.3 12.1  2.47 14.29  6.64 297 1024.2  10.6  13.4 999.0 99.0 99.00
2004 01 04 01 327 10.9 13.2  2.60 14.29  6.94 301 1024.1  10.5  13.4 999.0 99.0 99.00
2004 01 04 02 331  9.9 11.8  2.38 12.50  6.35 313 1024.5  10.6  13.4 999.0 99.0 99.00
2004 01 04 03 330 10.2 12.0  2.41 12.50  6.41 300 1025.0  10.6  13.4 999.0 99.0 99.00
2004 01 04 04 333 10.2 12.6  2.28 12.50  6.11 304 1025.2  10.7  13.4 999.0 99.0 99.00
2004 01 04 05 329  9.5 11.2  2.26 12.50  6.44 307 1025.8  10.8  13.4 999.0 99.0 99.00
2004 01 04 06 345  8.3 10.2 99.00 99.00 99.00 999 1026.4  10.9  13.4 999.0 99.0 99.00
2004 01 04 07 342  7.9  9.5  2.17 12.50  6.37 310 1025.9  10.5  13.4 999.0 99.0 99.00
2004 01 04 08 345  7.5  9.1  2.15 12.50  6.31 309 1025.8  10.3  13.3 999.0 99.0 99.00
2004 01 04 09 343  7.0  8.9  2.15 12.50  6.47 310 1025.6  10.4  13.3 999.0 99.0 99.00
2004 01 04 10 350  5.3  6.8  2.02 12.50  6.64 307 1026.4  10.5  13.3 999.0 99.0 99.00
2004 01 04 11 341  6.6  7.8  1.93 11.11  6.54 303 1026.6  10.6  13.3 999.0 99.0 99.00
2004 01 04 12 344  6.6  8.2  1.87 12.50  6.36 302 1026.4  10.5  13.3 999.0 99.0 99.00
2004 01 04 13 340  8.2  9.8  1.93 11.11  6.49 307 1026.6  10.5  13.3 999.0 99.0 99.00
2004 01 04 14 340  7.9  9.3  1.93 11.11  6.09 305 1026.6  10.2  13.3 999.0 99.0 99.00
2004 01 04 15 344  6.9  9.1  1.94 12.50  6.12 297 1027.1  10.3  13.3 999.0 99.0 99.00
2004 01 04 16 358  5.8  7.6  2.00 11.11  6.40 305 1027.3  10.5  13.3 999.0 99.0 99.00
2004 01 04 17 360  4.8  6.2  1.80 12.50  6.19 314 1028.0  10.5  13.3 999.0 99.0 99.00
2004 01 04 18 355  2.7  4.1 99.00 99.00 99.00 306 1028.4  10.6  13.3 999.0 99.0 99.00
2004 01 04 19   4  5.1  6.3  2.00 12.50  6.74 315 1028.3  10.6  13.3 999.0 99.0 99.00
2004 01 04 20 344  7.0  8.9  1.80 12.50  6.38 309 1027.3  10.6  13.3 999.0 99.0 99.00
2004 01 04 21 346  8.7 10.0  1.78 12.50  5.93 309 1026.5  10.6  13.3 999.0 99.0 99.00
2004 01 04 22 328  9.4 11.3  1.95 12.50  5.70 307 1025.7  11.0  13.3 999.0 99.0 99.00
2004 01 04 23 332  9.6 11.3  2.07 12.50  5.52 300 1025.6  11.1  13.3 999.0 99.0 99.00
