YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 01 03 04 00 303  9.4 11.6  4.94 14.81  8.38 302 1015.5  13.7  14.1 999.0 99.0 99.00
2006 01 03 05 00 305  9.0 11.4  4.90 11.43  8.79 298 1016.9  13.7  14.1 999.0 99.0 99.00
2006 01 03 06 00 313  7.4  9.0  4.98 16.00  9.67 309 1018.4  13.7  14.1 999.0 99.0 99.00
2006 01 03 07 00 319  5.6  7.1  4.53 16.00  9.41 300 1019.4  13.5  14.1 999.0 99.0 99.00
2006 01 03 08 00 308  3.0  4.4  4.70 14.81  9.97 300 1019.9  13.3  14.0 999.0 99.0 99.00
2006 01 03 09 00 287  3.2  4.6  4.09 16.00  9.52 315 1020.5  13.4  14.0 999.0 99.0 99.00
2006 01 03 10 00 268  2.2  3.3  4.70 16.00 10.14 314 1020.9  13.3  14.0 999.0 99.0 99.00
2006 01 03 11 00 153  1.7  3.4  4.47 13.79  9.97 299 1021.0  13.2  13.9 999.0 99.0 99.00
2006 01 03 12 00 178  3.4  4.4  4.66 14.81  9.59 303 1021.5  13.0  13.9 999.0 99.0 99.00
2006 01 03 13 00 209  3.0  4.0  4.71 14.81  9.26 284 1022.5  13.1  13.9 999.0 99.0 99.00
2006 01 03 14 00 186  3.2  4.8  4.43 14.81  9.24 292 1023.1  13.1  13.9 999.0 99.0 99.00
2006 01 03 15 00 156  3.5  5.4  4.65 13.79  9.30 279 1023.0  13.1  13.9 999.0 99.0 99.00
2006 01 03 16 00 166  3.5  4.7  5.00 14.81  9.51 296 1024.1  13.0  13.9 999.0 99.0 99.00
2006 01 03 17 00 137  3.7  6.5  4.93 14.81  9.54 277 1024.7  13.1  13.8 999.0 99.0 99.00
2006 01 03 18 00 140  4.8  6.7  4.63 14.81  9.36 283 1025.1  13.3  13.8 999.0 99.0 99.00
2006 01 03 19 00 143  5.2  6.7  4.50 12.90  9.21 284 1025.8  13.3  13.9 999.0 99.0 99.00
2006 01 03 20 00 144  5.5  7.5  4.35 14.81  9.59 281 1025.5  13.2  13.9 999.0 99.0 99.00
2006 01 03 21 00 127  6.2  8.3  4.03 16.00  9.80 272 1024.1  13.2  13.9 999.0 99.0 99.00
2006 01 03 22 00 127  7.2  9.3  3.98 16.00  9.86 287 1024.1  13.0  13.9 999.0 99.0 99.00
2006 01 03 23 00 122  5.8  7.5  3.43 14.81  9.57 282 1025.0  13.1  13.9 999.0 99.0 99.00
2006 01 04 00 00 119  6.1  7.9  3.22 14.81  9.53 277 1025.3  13.2  14.0 999.0 99.0 99.00
2006 01 04 01 00 122  7.2  9.4  3.37 16.00 10.01 284 1025.1  13.2  14.0 999.0 99.0 99.00
2006 01 04 02 00 119  6.9  8.8  3.29 16.00 10.08 295 1025.7  13.2  14.0 999.0 99.0 99.00
2006 01 04 03 00 125  6.3  8.4  3.13 16.00  9.80 307 1026.1  13.4  14.0 999.0 99.0 99.00
2006 01 04 04 00 131  5.6  7.2  3.28 14.81  9.87 290 1026.6  13.5  14.0 999.0 99.0 99.00
2006 01 04 05 00 152  4.6  5.9  3.28 16.00 10.34 299 1027.2  13.6  13.9 999.0 99.0 99.00
2006 01 04 06 00 136  3.9  5.5  3.36 14.81 10.32 295 1026.9  13.6  13.9 999.0 99.0 99.00
2006 01 04 07 00 134  3.2  4.3  3.45 14.81 10.72 295 1027.4  13.5  13.9 999.0 99.0 99.00
2006 01 04 08 00 135  2.5  3.7  3.82 14.81 11.06 291 1027.4  13.5  13.9 999.0 99.0 99.00
2006 01 04 09 00 148  3.6  4.9  3.89 13.79 10.77 295 1026.3  13.5  13.8 999.0 99.0 99.00
2006 01 04 10 00 175  2.6  3.4  4.05 14.81 10.42 297 1026.3  13.5  13.8 999.0 99.0 99.00
2006 01 04 11 00 171  2.8  4.4  4.39 12.12 10.25 296 1026.3  13.6  13.8 999.0 99.0 99.00
2006 01 04 12 00 123  1.5  3.5  4.95 12.90 10.66 289 1025.6  13.5  13.7 999.0 99.0 99.00
2006 01 04 13 00 323  1.5  3.4  5.21 17.39 10.85 302 1026.6  13.5  13.7 999.0 99.0 99.00
2006 01 04 14 00   3  3.5  4.7  5.54 17.39 10.88 305 1026.7  13.5  13.7 999.0 99.0 99.00
2006 01 04 15 00  32  1.9  3.5  5.58 19.05 11.10 307 1026.8  13.3  13.7 999.0 99.0 99.00
2006 01 04 16 00  33  2.1  4.2  6.29 19.05 12.14 298 1026.8  13.3  13.7 999.0 99.0 99.00
2006 01 04 17 00  35  1.7  3.4  5.95 19.05 12.05 296 1027.1  13.4  13.7 999.0 99.0 99.00
2006 01 04 18 00  46  1.2  3.1  6.21 19.05 12.87 297 1027.3  13.7  13.7 999.0 99.0 99.00
2006 01 04 19 00  28  0.8  2.5  5.72 19.05 12.90 296 1027.4  14.1  13.8 999.0 99.0 99.00
2006 01 04 20 00 322  2.2  3.4  5.22 17.39 12.98 292 1026.2  13.9  14.0 999.0 99.0 99.00
2006 01 04 21 00 352  3.4  5.5  5.22 17.39 13.22 294 1025.7  14.1  14.2 999.0 99.0 99.00
2006 01 04 22 00 356  5.2  6.7  5.44 19.05 13.50 309 1025.4  14.1  14.1 999.0 99.0 99.00
2006 01 04 23 00 350  6.8  8.7  4.61 19.05 12.96 308 1025.3  14.2  14.1 999.0 99.0 99.00
2006 01 05 00 00 357  6.8  8.3  4.76 16.00 12.20 311 1025.5  14.2  14.0 999.0 99.0 99.00
2006 01 05 01 00 357  6.0  7.3  4.70 17.39 11.87 317 1025.3  14.2  14.0 999.0 99.0 99.00
2006 01 05 02 00 333  4.3  5.8  4.52 14.81 11.88 312 1025.4  14.4  14.0 999.0 99.0 99.00
2006 01 05 03 00 317  4.2  5.4  4.65 17.39 12.09 319 1025.7  14.3  14.0 999.0 99.0 99.00
2006 01 05 04 00 313  3.8  5.4  4.59 13.79 11.79 308 1026.1  14.2  13.9 999.0 99.0 99.00
2006 01 05 05 00 295  2.7  4.2  4.80 16.00 12.04 317 1026.5  14.0  13.9 999.0 99.0 99.00
2006 01 05 06 00 293  2.8  4.7  4.40 16.00 11.25 304 1026.4  14.0  13.7 999.0 99.0 99.00
2006 01 05 07 00 317  2.4  3.7  4.57 17.39 11.40 309 1026.3  14.1  13.7 999.0 99.0 99.00
2006 01 05 08 00  41  1.0  2.4  4.24 16.00 11.00 300 1026.2  13.7  13.7 999.0 99.0 99.00
2006 01 05 09 00  69  1.6  3.0  4.03 14.81 10.55 311 1026.1  13.7  13.7 999.0 99.0 99.00
2006 01 05 10 00  96  0.6  2.1  3.64 16.00 10.19 304 1026.0  13.7  13.6 999.0 99.0 99.00
2006 01 05 11 00 256  0.8  1.9  3.70 13.79  9.93 301 1025.9  13.6  13.6 999.0 99.0 99.00
2006 01 05 12 00 282  1.7  3.0  3.45 16.00 10.19 304 1025.9  13.6  13.6 999.0 99.0 99.00
2006 01 05 13 00 103  0.5  1.6  3.30 16.00  9.50 299 1025.3  13.6  13.6 999.0 99.0 99.00
2006 01 05 14 00 153  1.2  3.3  3.17 16.00  9.86 299 1025.2  13.7  13.6 999.0 99.0 99.00
2006 01 05 15 00 197  0.5  1.5  3.00 16.00  9.45 302 1025.3  14.0  13.6 999.0 99.0 99.00
2006 01 05 16 00  52  0.3  1.2  3.04 16.00  9.69 299 1025.4  14.0  13.6 999.0 99.0 99.00
2006 01 05 17 00 349  0.6  1.5  2.94 14.81  9.78 297 1026.1  14.3  13.6 999.0 99.0 99.00
2006 01 05 18 00 141  0.6  2.0  2.73 14.81  9.74 297 1026.6  14.4  13.6 999.0 99.0 99.00
2006 01 05 19 00  18  0.3  0.9  3.27 14.81 10.95 301 1026.3  14.3  13.7 999.0 99.0 99.00
2006 01 05 20 00  13  1.7  2.7  3.14 14.81 10.86 300 1025.6  14.5  13.8 999.0 99.0 99.00
2006 01 05 21 00 336  3.2  4.2  3.04 14.81 10.72 297 1025.0  14.4  14.0 999.0 99.0 99.00
2006 01 05 22 00 344  3.5  4.8  2.83 13.79 10.88 302 1024.2  14.4  14.1 999.0 99.0 99.00
2006 01 05 23 00 350  3.4  4.2  3.26 14.81 11.14 307 1024.0  14.4  14.0 999.0 99.0 99.00
2006 01 06 00 00  11  3.5  4.3  3.47 14.81 11.42 303 1023.7  14.6  14.0 999.0 99.0 99.00
2006 01 06 01 00 357  3.8  4.6  3.64 16.00 11.62 308 1023.8  14.6  14.0 999.0 99.0 99.00
2006 01 06 02 00 348  4.0  5.0  4.17 16.00 11.62 302 1023.6  14.7  13.9 999.0 99.0 99.00
2006 01 06 03 00 344  4.8  5.8  3.56 16.00 10.77 309 1023.6  15.0  13.8 999.0 99.0 99.00
2006 01 06 04 00 358  4.2  5.1  3.94 14.81 10.85 295 1023.4  14.5  13.8 999.0 99.0 99.00
2006 01 06 05 00 351  3.5  4.5  3.91 14.81 11.10 286 1022.9  14.4  13.7 999.0 99.0 99.00
2006 01 06 06 00 345  3.4  4.1  3.50 14.81 10.65 296 1022.5  14.5  13.7 999.0 99.0 99.00
2006 01 06 07 00 342  4.1  5.0  3.46 14.81 10.42 290 1021.9  14.8  13.7 999.0 99.0 99.00
2006 01 06 08 00 330  4.0  4.7  3.60 14.81 10.73 282 1021.3  14.7  13.7 999.0 99.0 99.00
2006 01 06 09 00 312  3.2  4.4  3.59 14.81 10.81 288 1020.6  14.8  13.7 999.0 99.0 99.00
2006 01 06 10 00 332  1.1  2.5  3.31 14.81 10.58 283 1020.9  14.7  13.7 999.0 99.0 99.00
2006 01 06 11 00 337  1.4  2.2  3.21 14.81 10.70 282 1020.2  14.9  13.7 999.0 99.0 99.00
2006 01 06 12 00   2  2.2  2.7  3.11 14.81 10.60 291 1019.6  14.4  13.7 999.0 99.0 99.00
2006 01 06 13 00 319  1.5  2.6  3.13 14.81 10.59 288 1019.2  14.4  13.6 999.0 99.0 99.00
2006 01 06 14 00 183  1.5  2.2  3.06 14.81 10.71 296 1019.7  14.1  13.6 999.0 99.0 99.00
2006 01 06 15 00 257  0.8  1.9  3.02 12.90 10.64 288 1020.1  13.9  13.7 999.0 99.0 99.00
2006 01 06 16 00 249  1.5  2.5  2.90 12.90 10.24 293 1020.2  13.9  13.7 999.0 99.0 99.00
2006 01 06 17 00 302  3.1  4.0  2.81 13.79 10.09 292 1020.0  13.9  13.8 999.0 99.0 99.00
2006 01 06 18 00 315  6.0  7.3  3.54 13.79 10.35 288 1020.4  12.3  13.8 999.0 99.0 99.00
2006 01 06 19 00 327  5.1  6.4  3.16 13.79  9.58 283 1020.0  13.1  13.8 999.0 99.0 99.00
2006 01 06 20 00 314  5.1  6.3  3.52 12.90 10.10 283 1018.9  13.3  13.8 999.0 99.0 99.00
2006 01 06 21 00 322  4.1  5.1  3.21 12.90  9.64 302 1018.0  13.7  13.9 999.0 99.0 99.00
2006 01 06 22 00 328  5.4  6.4  3.26 12.12  9.87 293 1017.0  13.9  13.9 999.0 99.0 99.00
2006 01 06 23 00 325  5.5  7.0  3.54 12.90 10.20 296 1016.7  13.7  13.9 999.0 99.0 99.00
2006 01 07 00 00 320  4.9  6.1  3.33 12.90  9.79 307 1016.3  12.9  13.9 999.0 99.0 99.00
2006 01 07 01 00 311  5.6  7.3  3.31 12.12  9.57 304 1016.1  12.9  13.9 999.0 99.0 99.00
2006 01 07 02 00 312  5.6  7.7  3.47 12.90  9.67 293 1016.5  12.6  13.9 999.0 99.0 99.00
2006 01 07 03 00 308  6.4  7.7  3.62 12.12  9.81 298 1016.9  11.4  13.8 999.0 99.0 99.00
