#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 03 05 50  23  8.8 11.8  2.59  9.09  6.33  45 1038.1  14.8  23.5   5.6 99.0 99.00
2008 01 03 06 50  22  9.3 12.2 99.00 99.00 99.00 999 1037.6  14.8  23.5   5.8 99.0 99.00
2008 01 03 07 50  32  8.8 11.5  2.52  9.09  6.37  48 1037.0  14.6  23.5   6.8 99.0 99.00
2008 01 03 08 50  39  9.3 12.4  2.39  8.33  6.15  45 1036.6  14.7  23.5   6.8 99.0 99.00
2008 01 03 09 50  34  8.9 11.2  2.42  8.33  6.19  24 1036.1  14.8  23.5   7.4 99.0 99.00
2008 01 03 10 50  42  7.8 10.7  2.32  9.09  6.28  46 1035.8  14.9  23.6   7.1 99.0 99.00
2008 01 03 11 50  25  7.2  9.2  2.39  8.33  6.41  42 1035.9  14.8  23.6   7.1 99.0 99.00
2008 01 03 12 50  51  6.5  8.9  2.33  8.33  6.22  46 1036.1  14.9  23.6   7.7 99.0 99.00
2008 01 03 13 50  31  6.8 10.0  2.12  7.69  6.30  37 1036.6  15.0  23.6   7.2 99.0 99.00
2008 01 03 14 50  47  5.6  9.3  2.11  8.33  6.26  43 1037.0  15.3  23.6   7.1 99.0 99.00
2008 01 03 15 50  26  4.4  6.5  2.05  7.69  6.25  37 1037.6  15.5  23.6   7.7 99.0 99.00
2008 01 03 16 50  55  5.7  7.6  1.95  7.69  6.16  48 1037.3  15.9  23.6   8.2 99.0 99.00
2008 01 03 17 50  44  5.5  7.6  1.85  7.69  6.09  48 1036.4  16.1  23.6   7.9 99.0 99.00
2008 01 03 18 50  58  5.8  8.7  1.73  7.14  5.88  46 1035.0  16.1  23.6   8.7 99.0 99.00
2008 01 03 19 50  46  4.6  7.0  1.77  7.14  6.25  57 1034.0  16.4  23.7   8.7 99.0 99.00
2008 01 03 20 50  43  6.4  9.3  1.73  7.69  5.96  63 1033.4  16.5  23.7   9.6 99.0 99.00
2008 01 03 21 50  39  7.1  9.0  1.73  7.14  5.82  51 1032.9  16.7  23.7   9.9 99.0 99.00
2008 01 03 22 50  57  5.4  7.6  1.73  9.09  5.98  82 1032.7  16.8  23.7  10.0 99.0 99.00
2008 01 03 23 50  53  6.9  8.8  1.63  6.25  5.74  47 1032.5  17.1  23.7  11.0 99.0 99.00
2008 01 04 00 50  76  6.8 10.4  1.68  8.33  5.64  69 1032.4  17.3  23.7  10.9 99.0 99.00
2008 01 04 01 50  68  7.5  9.0  1.70  6.67  5.68  52 1032.3  17.6  23.7  11.2 99.0 99.00
