#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 03 03 00  75  5.8  6.9  0.50  4.17 99.00   0 1025.0  11.7  14.8   5.8 99.0 99.00
2007 01 03 04 00  79  4.0  5.2  0.49  3.23 99.00   0 1025.6  11.7  14.8   6.3 99.0 99.00
2007 01 03 05 00  60  3.4  4.8  0.45  3.03 99.00   0 1025.5  11.6  14.8   6.4 99.0 99.00
2007 01 03 06 00  37  2.4  3.8  0.40  4.55 99.00   0 1025.4  11.6  14.8   6.8 99.0 99.00
2007 01 03 07 00  55  3.6  4.6  0.37  3.85 99.00   0 1024.9  11.7  14.8   6.9 99.0 99.00
2007 01 03 08 00  88  4.0  5.4  0.36  6.67 99.00   0 1024.9  11.8  14.5   7.1 99.0 99.00
2007 01 03 09 00  62  3.1  4.4  0.35  6.25 99.00  90 1025.0  12.1  14.5   7.8 99.0 99.00
2007 01 03 10 00  57  4.1  5.2  0.35  5.56 99.00   0 1024.2  12.1  14.5   8.0 99.0 99.00
2007 01 03 11 00  58  4.4  5.4  0.38  4.55 99.00   0 1023.5  12.1  14.4   7.6 99.0 99.00
2007 01 03 12 00  53  5.5  6.5  0.40  5.00 99.00   0 1024.0  12.1  14.4   9.2 99.0 99.00
2007 01 03 13 00  63  5.7  6.7  0.48  2.63 99.00   0 1024.8  12.2  14.4   9.0 99.0 99.00
2007 01 03 14 00  59  4.8  5.6  0.55  3.33 99.00   0 1025.1  12.3  14.4   9.1 99.0 99.00
2007 01 03 15 00  63  5.7  7.1  0.60  3.13 99.00   0 1025.0  12.4  14.5   9.5 99.0 99.00
2007 01 03 16 00  58  6.1  7.2  0.54  3.33 99.00   0 1025.6  12.5  14.5   9.8 99.0 99.00
2007 01 03 17 00  62  6.1  8.1  0.59  3.57 99.00   0 1025.1  12.5  14.8  10.2 99.0 99.00
2007 01 03 18 00  48  5.2  6.3  0.56  3.45 99.00   0 1024.9  12.5  14.8  10.7 99.0 99.00
2007 01 03 19 00  71  7.2  8.2  0.58  3.57 99.00   0 1023.3  12.2  14.9  10.8 99.0 99.00
2007 01 03 20 00  70  7.5  8.8  0.63  3.57 99.00   0 1022.3  12.5  14.9  10.8 99.0 99.00
2007 01 03 21 00  72  8.1  9.7  0.78  3.57 99.00   0 1021.0  12.6  14.9  10.7 99.0 99.00
2007 01 03 22 00  66  9.0 10.8  0.84  3.85 99.00   0 1020.2  12.9  14.9  10.6 99.0 99.00
2007 01 03 23 00  71  8.7 10.1  0.99  4.00 99.00 999 1020.1  13.3  14.9  11.4 99.0 99.00
2007 01 04 00 00  76  9.1 10.4  1.09  4.55 99.00 999 1018.9  13.7  14.9  12.7 99.0 99.00
2007 01 04 01 00  68  7.2  8.6  1.04  4.55 99.00 999 1019.4  14.2  14.9  13.4 99.0 99.00
2007 01 04 02 00  66  9.4 11.4  1.18  4.76 99.00 999 1018.9  14.4  14.9  13.5 99.0 99.00
2007 01 04 03 00  74  9.9 12.3  1.36  5.26 99.00 999 1017.4  14.8  14.9  14.4 99.0 99.00
2007 01 04 04 00  72  8.0  9.7  1.36  5.56 99.00 999 1017.3  15.2  15.0  14.9 99.0 99.00
2007 01 04 05 00  75  7.6  9.0  1.31  5.26 99.00 999 1016.3  15.2  15.2  15.0 99.0 99.00
2007 01 04 06 00  82  8.3  9.4  1.24  5.88 99.00 999 1014.9  15.7  15.2  15.5 99.0 99.00
2007 01 04 07 00  84  6.6  7.8  1.19  5.88 99.00 999 1014.0  16.0  15.2  15.7 99.0 99.00
2007 01 04 08 00  88  8.2  9.4  1.24  5.88 99.00 999 1013.2  16.0  15.2  15.8 99.0 99.00
2007 01 04 09 00  99  5.7  6.6  1.25  6.25 99.00 999 1013.2  16.5  15.2  16.3 99.0 99.00
