#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 01 03 02 50 300  8.8 10.2  1.43 16.00  6.38 252 1013.4  12.2  12.3 999.0 99.0 99.00
2009 01 03 03 50 311  9.8 11.9  1.62 14.81  5.91 294 1013.9  12.0  12.3 999.0 99.0 99.00
2009 01 03 04 50 313 10.7 13.1  1.71 14.81  5.36 292 1013.6  11.7  12.2 999.0 99.0 99.00
2009 01 03 05 50 313 10.0 11.9  1.86  5.26  5.28 308 1013.8  11.6  12.2 999.0 99.0 99.00
2009 01 03 06 50 317  9.9 11.9  1.99 14.81  5.46 281 1013.7  11.7  12.2 999.0 99.0 99.00
2009 01 03 07 50 320 10.4 13.3  2.19  6.67  5.44 315 1013.8  11.5  12.1 999.0 99.0 99.00
2009 01 03 08 50 319 10.6 12.5  2.47  7.14  5.93 313 1013.8  11.3  12.1 999.0 99.0 99.00
2009 01 03 09 50 321 10.3 12.3  2.74  7.69  6.13 311 1013.9  11.1  12.1 999.0 99.0 99.00
2009 01 03 10 50 325  8.6 10.7  2.41  6.67  5.96 316 1014.0  11.2  12.0 999.0 99.0 99.00
2009 01 03 11 50 336  9.1 10.6  2.63  8.33  6.20 310 1013.5  11.0  12.0 999.0 99.0 99.00
2009 01 03 12 50 348  5.2  6.6  2.38  7.69  6.22 313 1013.6  10.9  11.9 999.0 99.0 99.00
2009 01 03 13 50   2  5.7  7.5  2.37  7.69  6.36 305 1013.7  10.8  11.9 999.0 99.0 99.00
2009 01 03 14 50  14  7.9  9.5  2.30  8.33  6.69 307 1014.2  10.4  12.1 999.0 99.0 99.00
2009 01 03 15 50 357  7.3  8.6  2.36  8.33  6.70 307 1014.8  10.2  12.3 999.0 99.0 99.00
2009 01 03 16 50 356  6.6  8.2  2.43  9.09  6.92 304 1015.2  10.2  12.3 999.0 99.0 99.00
2009 01 03 17 50 351  5.7  7.9  2.38 10.00  7.11 307 1015.7  10.5  12.4 999.0 99.0 99.00
2009 01 03 18 50 339  6.8  8.3  2.44 10.00  7.12 307 1015.7  10.5  12.5 999.0 99.0 99.00
2009 01 03 19 50 332  7.0  7.9  2.52 10.81  7.31 304 1015.1  11.2  12.5 999.0 99.0 99.00
2009 01 03 20 50 332  8.7 10.4  2.35 10.00  7.01 299 1014.2  11.5  12.5 999.0 99.0 99.00
2009 01 03 21 50 321  9.5 10.9  2.51 10.81  6.94 301 1013.6  11.3  12.5 999.0 99.0 99.00
2009 01 03 22 50 321  8.5 10.3  2.53 10.00  6.78 303 1013.5  11.5  12.5 999.0 99.0 99.00
2009 01 03 23 50 320  9.4 11.0  2.66 10.00  6.95 306 1013.7  11.5  12.5 999.0 99.0 99.00
2009 01 04 00 50 323  9.7 11.8  2.29 10.00  6.35 299 1013.9  11.3  12.5 999.0 99.0 99.00
2009 01 04 01 50 329  9.2 10.7  2.37 10.00  6.27 307 1014.4  11.4  12.5 999.0 99.0 99.00
2009 01 04 02 50  33  7.0  9.2  2.31 10.00  6.44 303 1015.3  11.4  12.4 999.0 99.0 99.00
2009 01 04 03 50  32  8.1  9.6  2.48 10.00  6.82 310 1015.6  11.3  12.4 999.0 99.0 99.00
2009 01 04 04 50  20  6.9  8.3  2.48 10.00  6.75 312 1016.1  10.9  12.4 999.0 99.0 99.00
2009 01 04 05 50  16  7.8  9.0  2.25  9.09  6.59 309 1015.9  11.1  12.4 999.0 99.0 99.00
2009 01 04 06 50 357  7.2  8.6  2.09 10.00  6.76 307 1016.1  10.9  12.3 999.0 99.0 99.00
2009 01 04 07 50 345  9.1 10.4  2.13 10.00  6.49 305 1016.0  10.2  12.3 999.0 99.0 99.00
2009 01 04 08 50 352  7.7  8.5  2.15 10.00  6.69 308 1015.9  10.2  12.3 999.0 99.0 99.00
2009 01 04 09 50 342  6.8  8.0  2.42 10.00  7.09 303 1016.4  10.2  12.3 999.0 99.0 99.00
2009 01 04 10 50  12  4.7  5.7  2.37 10.00  7.17 301 1016.5  10.3  12.3 999.0 99.0 99.00
2009 01 04 11 50  13  4.5  5.4  2.06 10.00  7.06 312 1016.5   9.9  12.3 999.0 99.0 99.00
2009 01 04 12 50   3  4.3  5.4  2.44  9.09  7.55 310 1016.7  10.0  12.3 999.0 99.0 99.00
2009 01 04 13 50  12  2.1  2.9  2.07 10.00  7.23 309 1016.9  10.0  12.3 999.0 99.0 99.00
2009 01 04 14 50  48  2.2  3.4  2.04 10.00  7.29 305 1017.6   9.5  12.2 999.0 99.0 99.00
2009 01 04 15 50  23  1.7  2.5  2.12  9.09  7.34 306 1018.3   9.3  12.2 999.0 99.0 99.00
2009 01 04 16 50  30  2.5  3.3  2.01 10.00  7.09 312 1019.1   9.3  12.2 999.0 99.0 99.00
2009 01 04 17 50  29  3.6  4.6  2.16  7.69  7.33 301 1019.9   9.0  12.2 999.0 99.0 99.00
2009 01 04 18 50  26  3.2  4.1  2.02 10.00  7.23 303 1020.2   9.2  12.2 999.0 99.0 99.00
2009 01 04 19 50 334  4.0  5.2  2.11  9.09  7.44 305 1019.5   9.7  12.4 999.0 99.0 99.00
2009 01 04 20 50 300  4.5  5.8  2.14 10.00  7.61 297 1019.1  10.0  12.5 999.0 99.0 99.00
2009 01 04 21 50 321  6.0  7.6  2.08 10.00  7.38 284 1018.7  11.2  12.6 999.0 99.0 99.00
2009 01 04 22 50 318  7.3  8.6  2.33  9.09  7.13 302 1018.9  11.3  12.5 999.0 99.0 99.00
2009 01 04 23 50 308  8.4  9.8  2.12  9.09  6.60 294 1019.1  11.6  12.5 999.0 99.0 99.00
2009 01 05 00 50 313  8.5 10.4  2.13  9.09  6.36 295 1019.4  11.5  12.5 999.0 99.0 99.00
2009 01 05 01 50 317  9.5 11.1  2.12  9.09  6.21 303 1019.8  11.5  12.4 999.0 99.0 99.00
2009 01 05 02 50 323  8.7 10.5  2.10  9.09  6.16 298 1020.5  11.6  12.3 999.0 99.0 99.00
2009 01 05 03 50 328  8.8 10.4  2.09  9.09  6.05 299 1021.3  11.4  12.2 999.0 99.0 99.00
2009 01 05 04 50 336  8.8  9.9  1.93  8.33  5.85 288 1021.7  10.7  12.2 999.0 99.0 99.00
2009 01 05 05 50 331  7.4  8.7  2.04 14.81  6.12 295 1021.6  10.8  12.2 999.0 99.0 99.00
2009 01 05 06 50 338  8.2  9.3  2.02  9.09  6.29 299 1022.7  11.0  12.3 999.0 99.0 99.00
2009 01 05 07 50 352  5.1  6.1  1.89  8.33  6.10 287 1022.5  10.8  12.3 999.0 99.0 99.00
2009 01 05 08 50  40  2.1  3.0  2.04  8.33  6.59 299 1022.2  10.3  12.3 999.0 99.0 99.00
2009 01 05 09 50  22  2.1  3.0  1.91 14.81  6.87 273 1022.0  10.1  12.3 999.0 99.0 99.00
2009 01 05 10 50 357  3.0  3.7  1.77 14.81  6.77 285 1022.4  10.0  12.3 999.0 99.0 99.00
2009 01 05 11 50 339  4.7  5.7  1.81 14.81  6.94 281 1021.8  10.3  12.3 999.0 99.0 99.00
2009 01 05 12 50 331  6.2  8.0  1.77  8.33  6.63 292 1021.9  10.7  12.3 999.0 99.0 99.00
2009 01 05 13 50 336  7.0  8.3  1.77 14.81  6.39 274 1022.5  10.5  12.3 999.0 99.0 99.00
2009 01 05 14 50 351  3.4  4.5  1.89  9.09  6.60 305 1022.7  10.0  12.4 999.0 99.0 99.00
2009 01 05 15 50  16  1.7  2.7  1.63  9.09  6.28 300 1022.9  10.3  12.4 999.0 99.0 99.00
2009 01 05 16 50   8  0.9  1.6  1.57 13.79  6.33 283 1023.6  10.0  12.5 999.0 99.0 99.00
2009 01 05 17 50 318  1.7  2.6  1.45 16.00  6.46 234 1023.8  10.3  12.5 999.0 99.0 99.00
2009 01 05 18 50 334  3.0  3.7  1.45 13.79  6.49 289 1024.3  10.7  12.5 999.0 99.0 99.00
2009 01 05 19 50 314  2.2  3.2  1.44 14.81  6.85 269 1022.9  11.0  12.6 999.0 99.0 99.00
2009 01 05 20 50 324  2.7  3.6  1.43 13.79  7.08 283 1022.1  11.1  12.6 999.0 99.0 99.00
2009 01 05 21 50 317  2.0  2.8  1.46 14.81  7.19 252 1021.2  11.3  12.6 999.0 99.0 99.00
2009 01 05 22 50 335  3.1  3.9  1.39 14.81  7.14 274 1020.9  11.3  12.6 999.0 99.0 99.00
2009 01 05 23 50   1  3.1  4.3  1.36 16.00  7.34 188 1020.6  11.0  12.6 999.0 99.0 99.00
2009 01 06 00 50  11  2.8  4.0  1.32 13.79  7.62 300 1020.2  10.9  12.6 999.0 99.0 99.00
2009 01 06 01 50   9  3.3  5.1  1.28 13.79  7.66 280 1020.4  11.2  12.5 999.0 99.0 99.00
2009 01 06 02 50 338  3.7  5.1  1.34 19.05  8.55 282 1020.4  10.7  12.5 999.0 99.0 99.00
2009 01 06 03 50 319  4.6  5.6  1.34 13.79  8.45 282 1020.6  10.8  12.5 999.0 99.0 99.00
2009 01 06 04 50 315  6.7  8.0  1.30 17.39  8.43 303 1020.3  11.2  12.5 999.0 99.0 99.00
2009 01 06 05 50 334  8.0 10.3  1.36 17.39  7.34 285 1020.5  11.7  12.4 999.0 99.0 99.00
2009 01 06 06 50 321  7.9  9.2  1.34 16.00  6.44 279 1020.8  11.2  12.3 999.0 99.0 99.00
2009 01 06 07 50 339  8.1  9.4  1.43 17.39  6.37 265 1020.8  11.1  12.3 999.0 99.0 99.00
2009 01 06 08 50 338  6.7  8.1  1.42 17.39  6.16 312 1020.7  11.3  12.1 999.0 99.0 99.00
2009 01 06 09 50 336  6.2  7.6  1.55 17.39  6.72 293 1021.4  11.6  12.1 999.0 99.0 99.00
2009 01 06 10 50 345  4.4  5.6 99.00 17.39  7.53 295 1021.5  11.7  12.1 999.0 99.0 99.00
2009 01 06 11 50 330  4.1  5.1  1.47 17.39  7.51 313 1021.1  11.5  12.0 999.0 99.0 99.00
2009 01 06 12 50 357  3.9  5.5  1.86 16.00  7.10 280 1021.3  11.6  12.0 999.0 99.0 99.00
2009 01 06 13 50 352  6.0  7.2  1.87 17.39  6.78 302 1021.8  11.6  11.8 999.0 99.0 99.00
2009 01 06 14 50 353  6.9  8.6  1.96 16.00  6.40 309 1022.4  11.4  11.8 999.0 99.0 99.00
2009 01 06 15 50 347  8.2  9.8  2.18 16.00  6.43 273 1022.5  10.9  11.8 999.0 99.0 99.00
2009 01 06 16 50   5  8.1  9.7  2.01 17.39  6.28 290 1022.7  10.9  11.8 999.0 99.0 99.00
2009 01 06 17 50  25  5.4  6.7  2.17 16.00  7.06 282 1024.1  11.0  11.8 999.0 99.0 99.00
2009 01 06 18 50 350  2.2  3.2  2.17 16.00  6.90 279 1023.9  11.2  11.8 999.0 99.0 99.00
2009 01 06 19 50 343  5.6  6.7  2.10 16.00  7.06 320 1023.1  11.9  11.9 999.0 99.0 99.00
2009 01 06 20 50 334  5.5  7.0  2.07 16.00  7.19 313 1022.6  12.0  12.0 999.0 99.0 99.00
2009 01 06 21 50 329  6.5  9.1  2.34 16.00  7.91 285 1022.1  12.4  12.0 999.0 99.0 99.00
2009 01 06 22 50 308  7.6  8.7  2.01 16.00  6.99 258 1022.0  11.6  12.0 999.0 99.0 99.00
2009 01 06 23 50 320  7.6  9.3  2.14 16.00  6.95 302 1021.7  11.8  11.9 999.0 99.0 99.00
2009 01 07 00 50 322  9.5 11.3  2.43 14.81  7.39 285 1021.8  11.9  11.9 999.0 99.0 99.00
